key,full name
孙百群,孙百群(Sun Baiqun)
长影民族乐队,长影民族乐队(Changying National Band)
于振寰,于振寰(Yu Zhenhuan)
吴木泉,吴木泉(Wu Muquan)
邓敬苏,邓敬苏(Deng Jingsu)
杨桂珍,杨桂珍(Yang Guizhen)
钱步铭,钱步铭(Qian Buming)
许荷香,许荷香(Xu Hexiang)
余红仙,余红仙(Yu Hongxian)
苏友邻,苏友邻(Su Youlin)
李紫贵,李紫贵(Li Zigui)
C·国吉,C·国吉(Sergey Godzi (Russian))
沙娜,沙娜(Sha Na)
董思昭,董思昭(Dong Sizhao)
隋鸿祺,隋鸿祺(Sui Hongqi)
吴乙,吴乙(Wu Yi)
王小平,王小平(Wang Xiaoping)
珠兰琪琪柯,珠兰琪琪柯(Julan Chiquique (Mongolian))
孙为德,孙为德(Sun Weide)
王万全,王万全(Wang Wanquan)
李舒田,李舒田(Li Shutian)
苏州专区锡剧团音乐组,苏州专区锡剧团音乐组(Music Group of Suzhou Tin Opera Troupe)
时白林,时白林(Shi Bailin)
何幼良,何幼良(He Youliang)
王苹,王苹(Wang Ping)
河南豫剧院,河南豫剧院(Henan Yu Theater)
才汝彬,才汝彬(Cai Rubin)
郭珊珊,郭珊珊(Guo Shanshan)
应鸣凤,应鸣凤(Ying Mingfeng)
刘禄平,刘禄平(Liu Luping)
侯冠群,侯冠群(Hou Guanqun)
卢柯,卢柯(Lu Ke)
崔元良,崔元良(Cui Yuanliang)
王英,王英(Wang Ying)
郑享宝,郑享宝(Zheng Xiangbao)
郭琪,郭琪(Guo Qi)
杨学芝,杨学芝(Yang Xuezhi)
宦爵才郎,宦爵才郎(Dpal Vbyor Bsod Nams (Tibetan))
乐羽侯,乐羽侯(Le Yuhou)
唐葭村,唐葭村(Tang Jiacun)
李家驹,李家驹(Li Jiaju)
孙繁仁,孙繁仁(Sun Fanren)
李载善,李载善(Li Zaishan)
李庆荣,李庆荣(Li Qingrong)
蓝樱,蓝樱(Lan Ying)
金杏庵,金杏庵(Jin Xingan)
马吉星,马吉星(Ma Jixing)
严济沈,严济沈(Yan Jishen)
张庭玉,张庭玉(Zhang Tingyu)
周行,周行(Zhou Xing)
图布信,图布信(Tu Buxin)
王琦珊,王琦珊(Wang Qishan)
丈一,丈一(Zhang Yi)
王凤姣,王凤姣(Wang Fengjiao)
张忠义,张忠义(Zhang Zhongyi)
刘沧浪,刘沧浪(Liu Canglang)
顾玉君,顾玉君(Gu Yujun)
桑弧,桑弧(Sang Hu)
张凤翔,张凤翔(Zhang Fengxiang)
王茹,王茹(Wang Ru)
郭宪忠,郭宪忠(Guo Xianzhong)
何方,何方(He Fang)
金风,金风(Jin Feng)
马路,马路(Ma Lu)
李纬,李纬(Li Wei)
赵志,赵志(Zhao Zhi)
乌尔沙娜,乌尔沙娜(Ursana (Mongolian))
庞尽旺,庞尽旺(Pang Jinwang)
陆云,陆云(Lu Yun)
赵忠,赵忠(Zhao Zhong)
陈乐,陈乐(Chen Le)
于大光,于大光(Yu Daguang)
许长欣,许长欣(Xu Zhangxin)
蒋季成,蒋季成(Jiang Jicheng)
金青云,金青云(Jin Qingyun)
王荔,王荔(Wang Li)
潘凤岑,潘凤岑(Pan Fengcen)
张伊雯,张伊雯(Zhang Yiwen)
郑荣福,郑荣福(Zheng Rongfu)
孙正阳,孙正阳(Sun Zhengyang)
刘学芝,刘学芝(Liu Xuezhi)
刘知侠,刘知侠(Liu Zhixia)
达式标,达式标(Da Shibiao)
李延生,李延生(Li Yansheng)
徐广南,徐广南(Xu Guangnan)
张宁和,张宁和(Zhang Ninghe)
田健,田健(Tian Jian)
范厚勤,范厚勤(Fan Houqin)
胡旭,胡旭(Hu Xu)
陈秉忠,陈秉忠(Chen Bingzhong)
金绮芬,金绮芬(Jin Qifen)
张东珍,张东珍(Zhang Dongzhen)
郝汉增,郝汉增(Hao Hanzeng)
金云鹏,金云鹏(Jin Yunpeng)
刘世德,刘世德(Liu Shide)
陈鸿生,陈鸿生(Chen Hongsheng)
张驾珊,张驾珊(Zhang Jiashan)
李景超,李景超(Li Jingchao)
流虹,流虹(Liu Hong)
刘月娉,刘月娉(Liu Yueping)
达奇,达奇(Da Qi)
陈云,陈云(Chen Yun)
张君秋,张君秋(Zhang Junqiu)
马长礼,马长礼(Ma Zhangli)
丁桂云,丁桂云(Ding Guiyun)
胡小东,胡小东(Hu Xiaodong)
王莘,王莘(Wang Xin)
梁幼莲,梁幼莲(Liang Youlian)
柳万雨,柳万雨(Liu Wanyu)
朱艺,朱艺(Zhu Yi)
刘世龙,刘世龙(Liu Shilong)
吴淑岩,吴淑岩(Wu Shuyan)
小杨天笑,小杨天笑(Yang Tianxiao Jr)
洪警铃,洪警铃(Hong Jingling)
向隽殊,向隽殊(Xiang Juanshu)
景春寒,景春寒(Jing Chunhan)
刘士达,刘士达(Liu Shida)
曹威业,曹威业(Cao Weiye)
上海广播合唱团,上海广播合唱团(Shanghai Broadcasting Choir)
王莹,王莹(Wang Ying)
王应辅,王应辅(Wang Yingfu)
邓尔敬,邓尔敬(Deng Erjing)
金奇,金奇(Jin Qi)
白桦,白桦(Bai Hua)
韩婉华,韩婉华(Han Wanhua)
刘肖芜,刘肖芜(Liu Xiaowu)
陈云富,陈云富(Chen Yunfu)
吴代尧,吴代尧(Wu Daiyao)
吴健海,吴健海(Wu Jianhai)
北京京剧团,北京京剧团(Beijing Peking Opera Troupe)
广东琼剧院,广东琼剧院(Guangdong Qiong Theater)
白莲芝,白莲芝(Bai Lianzhi)
万仓,万仓(Wan Cang)
白梅,白梅(Bai Mei)
贠恩凤,贠恩凤(Yuan Enfeng)
沈阳铁路公安集体创作-陈治洪,沈阳铁路公安集体创作-陈治洪(Shenyang Railway Security Department represented by Chen Zhihong)
张家亮,张家亮(Zhang Jialiang)
李友仁,李友仁(Li Youren)
娄青蓝,娄青蓝(Lou Qinglan)
王望蜀,王望蜀(Wang Wangshu)
陈兰芳,陈兰芳(Chen Lanfang)
庞建兵,庞建兵(Pang Jianbing)
顾振遐,顾振遐(Gu Zhenxia)
广道,广道(Guang Dao)
阎崇生,阎崇生(Yan Chongsheng)
简瑞超,简瑞超(Jian Ruichao)
丁辰,丁辰(Ding Chen)
范瑞媚,范瑞媚(Fan Ruimei)
卢森,卢森(Lu Sen)
姚锦新,姚锦新(Yao Jinxin)
马勋超,马勋超(Ma Xunchao)
陈传,陈传(Chen Chuan)
李秉申,李秉申(Li Bingshen)
林白,林白(Lin Bai)
卫禹平,卫禹平(Wei Yuping)
李宝山,李宝山(Li Baoshan)
马士达,马士达(Ma Shida)
徐潮,徐潮(Xu Chao)
苏海玲,苏海玲(Su Hailing)
王萃,王萃(Wang Cui)
易文,易文(Yi Wen)
厦立志,厦立志(Sha Lizhi)
王行舟,王行舟(Wang Xingzhou)
吴韵芳,吴韵芳(Wu Yunfang)
李茗钳,李茗钳(Li Mingqian)
浦泉根,浦泉根(Pu Quangen)
再娜甫,再娜甫(Zai Nafu)
山西省上党戏剧院,山西省上党戏剧院(Shangdang Drama Theater of Shanxi Province)
窦玉如,窦玉如(Dou Yuru)
姜长华,姜长华(Jiang Zhanghua)
黄世光,黄世光(Huang Shiguang)
严克俊,严克俊(Yan Kejun)
王萍,王萍(Wang Ping)
梁林森,梁林森(Liang Linsen)
于亚夫,于亚夫(Yu Yafu)
刘儒,刘儒(Liu Ru)
关淑珍,关淑珍(Guan Shuzhen)
周元伯,周元伯(Zhou Yuanbo)
朱湘蓉,朱湘蓉(Zhu Xiangrong)
赵文瑜,赵文瑜(Zhao Wenyu)
李宝岩,李宝岩(Li Baoyan)
王苏江,王苏江(Wang Sujiang)
步文令,步文令(Bu Wenling)
胡道祚,胡道祚(Hu Daozuo)
林仲华,林仲华(Lin Zhonghua)
李鸣九,李鸣九(Li Mingjiu)
杨秦华,杨秦华(Yang Qinhua)
沈华芬,沈华芬(Shen Huafen)
张曦白,张曦白(Zhang Xibai)
张家克,张家克(Zhang Jiake)
郑小秋,郑小秋(Zheng Xiaoqiu)
简超,简超(Jian Chao)
吕云峰,吕云峰(Lv Yunfeng)
冯佩莉,冯佩莉(Feng Peili)
吴白匈,吴白匈(Wu Baixiong)
范雅珍,范雅珍(Fan Yazhen)
李晰倩,李晰倩(Li Xiqian)
李群,李群(Li Qun)
公昂,公昂(Gong Ang)
林盈,林盈(Lin Ying)
王根柱,王根柱(Wang Genzhu)
张定和,张定和(Zhang Dinghe)
傅金城,傅金城(Fu Jincheng)
龙溪,龙溪(Long Xi)
李智伟,李智伟(Li Zhiwei)
张俊芳,张俊芳(Zhang Junfang)
张彩平,张彩平(Zhang Caiping)
吴迪,吴迪(Wu Di)
马会,马会(Ma Hui)
宋江,宋江(Song Jiang)
柳毅,柳毅(Liu Yi)
金威,金威(Jin Wei)
陈辞,陈辞(Chen Ci)
薛咏,薛咏(Xue Yong)
张樵侬,张樵侬(Zhang Qiaonong)
李翔,李翔(Li Xiang)
张新富,张新富(Zhang Xinfu)
杜继文,杜继文(Du Jiwen)
李世荣,李世荣(Li Shirong)
刘兵,刘兵(Liu Bing)
栖枫,栖枫(Qi Feng)
胡朋,胡朋(Hu Peng)
庞贵,庞贵(Pang Gui)
傅淑珍,傅淑珍(Fu Shuzhen)
徐苏灵,徐苏灵(Xu Suling)
伍赛文,伍赛文(Wu Saiwen)
陈达,陈达(Chen Da)
王为一,王为一(Wang Weiyi)
朱石麟,朱石麟(Zhu Shilin)
严碧丽,严碧丽(Yan Bili)
朱莎,朱莎(Zhu Sha)
张逸生,张逸生(Zhang Yisheng)
安波,安波(An Bo)
李文治,李文治(Li Wenzhi)
王成有,王成有(Wang Chengyou)
钟国仁,钟国仁(Zhong Guoren)
田吉海,田吉海(Tian Jihai)
卢雨稼,卢雨稼(Lu Yujia)
李荣伟,李荣伟(Li Rongwei)
钱能,钱能(Qian Neng)
依干,依干(Yi Gan)
田冲,田冲(Tian Chong)
白天民,白天民(Bai Tianmin)
黄宗毅,黄宗毅(Huang Zongyi)
王锐福,王锐福(Wang Ruifu)
马辉,马辉(Ma Hui)
柴益新,柴益新(Chai Yixin)
于素秋,于素秋(Yu Suqiu)
田野,田野(Tian Ye)
陈俊,陈俊(Chen Jun)
丁立华,丁立华(Ding Lihua)
胡德龙,胡德龙(Hu Delong)
马佳,马佳(Ma Jia)
李辛卯,李辛卯(Li Xinmao)
周伯勋,周伯勋(Zhou Boxun)
少岚,少岚(Shao Lan)
王蓓,王蓓(Wang Bei)
吴蔚云,吴蔚云(Wu Yuyun)
沈仁伟,沈仁伟(Shen Renwei)
夏宗学,夏宗学(Xia Zongxue)
李世芬,李世芬(Li Shifen)
陈述,陈述(Chen Shu)
丁邑,丁邑(Ding Yi)
冷福记,冷福记(Leng Fuji)
黄裳,黄裳(Huang Shang)
董兆琪,董兆琪(Dong Zhaoqi)
刘凌,刘凌(Liu Ling)
杨润身,杨润身(Yang Runshen)
胡杰,胡杰(Hu Jie)
寄明,寄明(Ji Ming)
刘凡,刘凡(Liu Fan)
明朗,明朗(Ming Lang)
苏毅,苏毅(Su Yi)
施文起,施文起(Shi Wenqi)
苏来曼·肉孜,苏来曼·肉孜(Sulaiman Rozi (Uyghur))
张运良,张运良(Zhang Yunliang)
邵滨孙,邵滨孙(Shao Binsun)
韦布,韦布(Wei Bu)
索南次仁,索南次仁(Suonan Ciren (Tibetan))
杨履方,杨履方(Yang Lvfang)
李培健,李培健(Li Peijian)
李守成,李守成(Li Shoucheng)
中央音乐学院管弦乐队,中央音乐学院管弦乐队(Central Conservatory of Music Orchestra)
林小群,林小群(Lin Xiaoqun)
欧米加参,欧米加参(Oumi Jiacan (Tibetan))
任桂林,任桂林(Ren Guilin)
盂庆芳,盂庆芳(Yu Qingfang)
林朴晔,林朴晔(Lin Poye)
熊塞声,熊塞声(Xiong Saisheng)
林鹏程,林鹏程(Lin Pengcheng)
世为,世为(Shi Wei)
刘光翠,刘光翠(Liu Guangcui)
罗静,罗静(Luo Jing)
詹国栋,詹国栋(Zhan Guodong)
周诗穆,周诗穆(Zhou Shimu)
黄焕光,黄焕光(Huang Huanguang)
迟雨,迟雨(Chi Yu)
何枫,何枫(He Feng)
施万春,施万春(Shi Wanchun)
许垦,许垦(Xu Ken)
朱子铮,朱子铮(Zhu Zizheng)
李子栋,李子栋(Li Zidong)
史东海,史东海(Shi Donghai)
胡玲玲,胡玲玲(Hu Lingling)
空军政治部文工团,空军政治部文工团(Art Troupe of the Political Department of the Air Force)
宋广汉,宋广汉(Song Guanghan)
火星,火星(Huo Xing)
史济普,史济普(Shi Jipu)
刘利,刘利(Liu Li)
马中婴,马中婴(Ma Zhongying)
黄炳希,黄炳希(Huang Bingxi)
朱玉昆,朱玉昆(Zhu Yukun)
戴金生,戴金生(Dai Jinsheng)
井富有,井富有(Jing Fuyou)
唐裕龙,唐裕龙(Tang Yulong)
吴文忠,吴文忠(Wu Wenzhong)
谭成江,谭成江(Tan Chengjiang)
买买提西里甫,买买提西里甫(Mehmet Sirif (Uyghur))
王爱爱,王爱爱(Wang Aiai)
毕恒三,毕恒三(Bi Hengsan)
苏民,苏民(Su Min)
侯崇,侯崇(Hou Chong)
马力克,马力克(Ma Like)
黄宗江,黄宗江(Huang Zongjiang)
徐小惠,徐小惠(Xu Xiaohui)
学生业余合唱团三千多人集体,学生业余合唱团三千多人集体(A group of more than 3000 student amateur choirs)
公木,公木(Gong Mu)
贾乃光,贾乃光(Jia Naiguang)
王德源,王德源(Wang Deyuan)
柏顺富,柏顺富(Bo Shunfu)
王世儒,王世儒(Wang Shiru)
刘凤歌,刘凤歌(Liu Fengge)
李仲林,李仲林(Li Zhonglin)
甘肃省话剧团集体,甘肃省话剧团集体(Gansu Provincial Drama Troupe)
金兰英,金兰英(Jin Lanying)
王治安,王治安(Wang Zhian)
谢怡冰,谢怡冰(Xie Yibing)
寇纪文,寇纪文(Kou Jiwen)
陈邦,陈邦(Chen Bang)
延边歌舞团,延边歌舞团(Yanbian Song and Dance Troupe)
李伟才,李伟才(Li Weicai)
冯文锦,冯文锦(Feng Wenjin)
王薇,王薇(Wang Wei)
朱文顺,朱文顺(Zhu Wenshun)
杨雅卿,杨雅卿(Yang Yaqing)
叶傅卿,叶傅卿(Ye Fuqing)
许倩云,许倩云(Xu Qianyun)
尔峰,尔峰(Er Feng)
李玉祥,李玉祥(Li Yuxiang)
刘竞生,刘竞生(Liu Jingsheng)
凌宣,凌宣(Ling Xuan)
沈默,沈默(Shen Mo)
李再雯,李再雯(Li Zaiwen)
蒋浩生,蒋浩生(Jiang Haosheng)
鲍芝芳,鲍芝芳(Bao Zhifang)
中央新闻纪录电影制片厂乐团,中央新闻纪录电影制片厂乐团(Central News Documentary Film Studio Orchestra)
王振荣,王振荣(Wang Zhenrong)
阳华,阳华(Yang Hua)
云翔,云翔(Yun Xiang)
张芳青,张芳青(Zhang Fangqing)
吴克勤,吴克勤(Wu Keqin)
汤化达,汤化达(Tang Huada)
中央广播文艺工作团合唱团,中央广播文艺工作团合唱团(Chorus of China Central Broadcasting Art Troupe)
吕铮,吕铮(Lv Zheng)
丛为,丛为(Cong Wei)
苏汗,苏汗(Su Han)
车明,车明(Che Ming)
林华亭,林华亭(Lin Huating)
顾谦,顾谦(Gu Qian)
赵国璋,赵国璋(Zhao Guozhang)
盛洪庄,盛洪庄(Sheng Hongzhuang)
高俊卿,高俊卿(Gao Junqing)
平原,平原(Ping Yuan)
李春城,李春城(Li Chuncheng)
刘力,刘力(Liu Li)
裴宗义,裴宗义(Pei Zongyi)
刘兴福,刘兴福(Liu Xingfu)
杜凤霞,杜凤霞(Du Fengxia)
才旦卓玛,才旦卓玛(Caidan Dolma (Tibetan))
冯继英,冯继英(Feng Jiying)
李凌云,李凌云(Li Lingyun)
孙天路,孙天路(Sun Tianlu)
邱德舜,邱德舜(Qiu Deshun)
沈继禹,沈继禹(Shen Jiyu)
周廷梅,周廷梅(Zhou Tingmei)
孙珍,孙珍(Sun Zhen)
连城,连城(Lian Cheng)
秋萍,秋萍(Qiu Ping)
鲁速,鲁速(Lu Su)
鲍梦梅,鲍梦梅(Bao Mengmei)
梅定,梅定(Mei Ding)
徐小慧,徐小慧(Xu Xiaohui)
倪也非,倪也非(Ni Yefei)
沈传芷,沈传芷(Shen Chuanzhi)
赵学民,赵学民(Zhao Xuemin)
王春朴,王春朴(Wang Chunpo)
庄重,庄重(Zhuang Zhong)
赵汝平,赵汝平(Zhao Ruping)
葛存壮,葛存壮(Ge Cunzhuang)
张洪玉,张洪玉(Zhang Hongyu)
郭素兰,郭素兰(Guo Sulan)
王振英,王振英(Wang Zhenying)
查瑞根,查瑞根(Cha Ruigen)
袁玉堃,袁玉堃(Yuan Yukun)
贾鹤鸣,贾鹤鸣(Jia Heming)
毕立奎,毕立奎(Bi Likui)
俞韵,俞韵(Yu Yun)
李宗强,李宗强(Li Zongqiang)
丁里,丁里(Ding Li)
许墨,许墨(Xu Mo)
白英宽,白英宽(Bai Yingkuan)
高如星,高如星(Gao Ruxing)
杭子玉,杭子玉(Hang Ziyu)
王更一,王更一(Wang Gengyi)
笑嘻嘻,笑嘻嘻(Xiao Xixi)
李晓功,李晓功(Li Xiaogong)
傅伯棠,傅伯棠(Fu Botang)
张北宗,张北宗(Zhang Beizong)
王怀文,王怀文(Wang Huaiwen)
赵拓,赵拓(Zhao Tuo)
周鼎文,周鼎文(Zhou Dingwen)
于福来,于福来(Yu Fulai)
杜生华,杜生华(Du Shenghua)
王成斌,王成斌(Wang Chengbin)
宁金川,宁金川(Ning Jinchuan)
莫德格玛,莫德格玛(Modegma (Mongolian))
麦一,麦一(Mai Yi)
次仁多吉,次仁多吉(Ciren Duoji (Tibetan))
温喜志,温喜志(Wen Xizhi)
梁志鹏,梁志鹏(Liang Zhipeng)
田华,田华(Tian Hua)
陈克,陈克(Chen Ke)
吕再良,吕再良(Lv Zailiang)
马福庆,马福庆(Ma Fuqing)
瓦里尤拉,瓦里尤拉(Variola (Uyghur))
周素萍,周素萍(Zhou Suping)
梁山,梁山(Liang Shan)
陆志云,陆志云(Lu Zhiyun)
刘千,刘千(Liu Qian)
赵国祥,赵国祥(Zhao Guoxiang)
杨植德,杨植德(Yang Zhide)
刘升,刘升(Liu Sheng)
周易人,周易人(Zhou Yiren)
吴凡,吴凡(Wu Fan)
孙瑜,孙瑜(Sun Yu)
刘万春,刘万春(Liu Wanchun)
宋雪娟,宋雪娟(Song Xuejuan)
罗炳媛,罗炳媛(Luo Bingyuan)
茅迪芳,茅迪芳(Mao Difang)
韩兰根,韩兰根(Han Langen)
联幼如,联幼如(Lian Youru)
洪谟,洪谟(Hong Mo)
少昆仑,少昆仑(Shao Kunlun)
唐时宝,唐时宝(Tang Shibao)
朱伟刚,朱伟刚(Zhu Weigang)
张跃荷,张跃荷(Zhang Yuehe)
向阳,向阳(Xiang Yang)
刘博,刘博(Liu Bo)
王雪艳,王雪艳(Wang Xueyan)
严金萱,严金萱(Yan Jinxuan)
雷振中,雷振中(Lei Zhenzhong)
孙璋,孙璋(Sun Zhang)
盛林中,盛林中(Sheng Linzhong)
高秀英,高秀英(Gao Xiuying)
周文彬,周文彬(Zhou Wenbin)
陆伯勤,陆伯勤(Lu Boqin)
王运庭,王运庭(Wang Yunting)
戴海平,戴海平(Dai Haiping)
冯雪峰,冯雪峰(Feng Xuefeng)
张国政,张国政(Zhang Guozheng)
周志俊,周志俊(Zhou Zhijun)
中国人民解放军前线歌舞团民族乐队,中国人民解放军前线歌舞团民族乐队(National Orchestra of the Frontline Song and Dance Troupe of the Chinese People's Liberation Army)
孙景璐,孙景璐(Sun Jinglu)
万军,万军(Wan Jun)
凌颂纯,凌颂纯(Ling Songchun)
阎飞,阎飞(Yan Fei)
冀明,冀明(Ji Ming)
刘伯英,刘伯英(Liu Boying)
中国铁路文工团歌舞团,中国铁路文工团歌舞团(China Railway Art Troupe)
汉剧团乐队,汉剧团乐队(Han opera troupe band)
刘厚,刘厚(Liu Hou)
罗雨秋,罗雨秋(Luo Yuqiu)
陈凤,陈凤(Chen Feng)
戴雪如,戴雪如(Dai Xueru)
邹继才,邹继才(Zou Jicai)
邓芳,邓芳(Deng Fang)
张瑞坤,张瑞坤(Zhang Ruikun)
薛雁,薛雁(Xue Yan)
陈重,陈重(Chen Zhong)
北影管弦乐队歌咏队,北影管弦乐队歌咏队(Beijing Film Orchestra Singing Team)
马兰,马兰(Ma Lan)
陆青霜,陆青霜(Lu Qingshuang)
刘道德,刘道德(Liu Daode)
李天济,李天济(Li Tianji)
张载亨,张载亨(Zhang Zaiheng)
姜妙香,姜妙香(Jiang Miaoxiang)
沙鸥,沙鸥(Sha Ou)
塞克,塞克(Sai Ke)
韩杰纵,韩杰纵(Han Jiezong)
张巨辉,张巨辉(Zhang Juhui)
上海市人民沪剧团音乐组,上海市人民沪剧团音乐组(Shanghai People's Shanghai Opera Troupe Music Group)
贵州省黔剧创作组,贵州省黔剧创作组(Creation Group of Guizhou Opera)
丁力,丁力(Ding Li)
沈西琳,沈西琳(Shen Xilin)
张翚,张翚(Zhang Hui)
郭小霞,郭小霞(Guo Xiaoxia)
陈文静,陈文静(Chen Wenjing)
张国昌,张国昌(Zhang Guochang)
迟日宽,迟日宽(Chi Rikuan)
何菊良,何菊良(He Juliang)
徐国腾,徐国腾(Xu Guoteng)
蒋先德,蒋先德(Jiang Xiande)
华香琳,华香琳(Hua Xianglin)
李志平,李志平(Li Zhiping)
王亚萍,王亚萍(Wang Yaping)
郭德明,郭德明(Guo Deming)
唐英奇,唐英奇(Tang Yingqi)
张翠,张翠(Zhang Cui)
张翼,张翼(Zhang Yi)
金山,金山(Jin Shan)
石金善,石金善(Shi Jinshan)
范来,范来(Fan Lai)
张锡龄,张锡龄(Zhang Xiling)
魏启光,魏启光(Wei Qiguang)
陈玩惜,陈玩惜(Chen Wanxi)
傅英杰,傅英杰(Fu Yingjie)
谭庆龙,谭庆龙(Tan Qinglong)
郑万玉,郑万玉(Zheng Wanyu)
徐牧,徐牧(Xu Mu)
王梦鱼,王梦鱼(Wang Mengyu)
单涤,单涤(Dan Di)
李柏林,李柏林(Li Bolin)
常秀霞,常秀霞(Chang Xiuxia)
贵州省黔东南苗族自治州歌舞队,贵州省黔东南苗族自治州歌舞队(Qiandongnan Miao Autonomous Prefecture Song and Dance Team of Guizhou Province)
梁玉管,梁玉管(Liang Yuguan)
莫天琴,莫天琴(Mo Tianqin)
张贵银,张贵银(Zhang Guiyin)
李廷秀,李廷秀(Li Tingxiu)
李进业,李进业(Li Jinye)
汪本贞,汪本贞(Wang Benzhen)
陕西省歌舞剧院民族乐队,陕西省歌舞剧院民族乐队(National Orchestra of Shaanxi Provincial Song and Dance Theater)
王万喜,王万喜(Wang Wanxi)
小旺堆,小旺堆(Xiao Wangdui)
秦瘦鸥,秦瘦鸥(Qin Shouou)
刘恩泰,刘恩泰(Liu Entai)
刘增庆,刘增庆(Liu Zengqing)
王毓祥,王毓祥(Wang Yuxiang)
陈天国,陈天国(Chen Tianguo)
李光惠,李光惠(Li Guanghui)
艾明之,艾明之(Ai Mingzhi)
周影魂,周影魂(Zhou Yinghun)
佟述承,佟述承(Tong Shucheng)
曹作宾,曹作宾(Cao Zuobin)
冷少鸣,冷少鸣(Leng Shaoming)
林秋,林秋(Lin Qiu)
朱崇懋,朱崇懋(Zhu Chongmao)
张娟莉,张娟莉(Zhang Juanli)
刘连池,刘连池(Liu Lianchi)
徐绍清,徐绍清(Xu Shaoqing)
总政文工团,总政文工团(General political art troupe)
陆菊生,陆菊生(Lu Jusheng)
王志泉,王志泉(Wang Zhiquan)
赵恒多,赵恒多(Zhao Hengduo)
钟艺兵,钟艺兵(Zhong Yibing)
陈世温,陈世温(Chen Shiwen)
金丽民,金丽民(Jin Limin)
解放军总政治部文工团歌舞团,解放军总政治部文工团歌舞团(The Song and Dance Troupe of the General Political Department of the People's Liberation Army)
程有林,程有林(Cheng Youlin)
梁玉章,梁玉章(Liang Yuzhang)
李培冬,李培冬(Li Peidong)
薛蕴华,薛蕴华(Xue Yunhua)
许之乔,许之乔(Xu Zhiqiao)
钟高年,钟高年(Zhong Gaonian)
李志川,李志川(Li Zhichuan)
吴靓娴,吴靓娴(Wu Jingxian)
朱庆玉,朱庆玉(Zhu Qingyu)
吴其辉,吴其辉(Wu Qihui)
杨芳菁,杨芳菁(Yang Fangjing)
蒋逸芳,蒋逸芳(Jiang Yifang)
吴树勋,吴树勋(Wu Shuxun)
吴报章,吴报章(Wu Baozhang)
谢雪畴,谢雪畴(Xie Xuechou)
