zhao yi man;Sha Meng;Yu Min;Shi Lianxing, Zhang Ying, Ouyang Ruqiu, An Qi, Fang Ying, Liu Tang, Du Defu, Ma Lu, Du Cuiyuan, Liu Wenhua, Luo Tai, Chen Ke, Zhang Ping, Wang Yan, Liu Ru, Shi Ling, Fu Jie, Liang Yin, Li Ying, Gao Ping, Pang Yongfen, Yin Yiqing, Fang Hua, Zhou Ke, Qiu Chen, Shui Hang, Yang Zhenhuai, Bu Wenling, Ge Cunzhuang, Jin Feng, Wu Bike, Zhang Fenglv, Zhang Yunfang, Zhuang Yan, Li Huiying, Huang Ling, Qu Wei, Lv Wanying, Yang Wenhao, Liu Wuxian, Qi Xingjia, Gu Shaobo, Tang Shaofeng, Xue Yandong, Miao Ling, Bai Dezhang, Ren Zihua, Qiu Shengtian, Zhao Zimin, Zheng Fang, Bai Yongsui, Zhang Jingping, Gao Jun;Bao Jie (photography), Wang Leng (clothing), Li Shulin (illumination), Ma Yanfang (props), Wu Yuyun (Filming Director), Yin Shengshan (conductor), Sha Yuan (audio), Li Bingshen (conductor), He Jing (trick photography), Ji Yongyuan (film development), Xin Hanwen (Design), Wang Guangyan (theater director), Li Cunbang (film development), Qin Wei (set design), Chen Zhiyuan (log), Xu Jinyuan (field service), Zhang Hui (photography assistant), Dong Yingledui (band play), Tian Qian (trick), Zhang Dichang (composing), Que Jingxiu (recording), Ming Wei (editing), Liu Chaoyuan (scenery)
guang rong ren jia;Ling Zifeng;Sun Qian;Chen Ke, Li Xiaogong, Xiao Ling, Zhang Qi, Bi Hengsan, Huang Ling, Sun Yuezhi, Lu Fei, Yu Qi, Wu Shuqin;Shi Yukun (audio), Dan Yigeng (scenery), Dong Shizhong (stage manager), Ma Tianwen (illumination), Sai Ke (lyricist), Yin Shengshan (conductor), Liu Li (log), Gao Tian (composing), Li Bingshen (conductor), He Jing (trick photography), Ji Yongyuan (film development), Lv Xianchang (recording), Xin Hanwen (Design), Li Cunbang (film development), Pan Ying (stage manager), Zhu Ge (graphic design), Dong Yingledui (band play), Cai Guang (trick), Liu Jingying (clothing), Yan Dekui (photography), Qian Jiang (photography), Ming Wei (editing), Jia Yisan (props)
wei guo bao jia;Yan Gong;Wang Zhenzhi;Yang Jing, Yu Yang, Che Yi, Zhang Ying, Xue Yan, An Qi, Pan Demin, Sun Xiaowen, Zhuang Yan, Ling Yuan, Du Fengxia, Ba Lihua, Gao Ping, Wang Huimin, Gao Jun, Liang Yin, Liu Xuezhi, Wang Ying, He Ruyu, Cao Zhulin, Qu Wei, Wang Huijuan, Guan Hang, Liu Yuyun, Liu Wuxian, Ren Zihua;Shao Yunxiang (scenery), Liu Yuhe (stage manager), Liu Xueyao (set design), Li Shijia (audio), Yin Shengshan (conductor), Lin Nong (deputy director), Xu Xu (composing), He Jing (trick photography), Tang Yuanzhi (theater director), Qian Zhongxuan (film development), Xin Hanwen (Design), Li Cunbang (film development), Dong Yingledui (band play), Su Yunpeng (props), Guo Jiadong (trick), Wu Yu (field service), Nie Jing (photography), Zhao Hongjun (recording), Ceng Xizhong (illumination), Wang Xiuying (clothing), Ming Wei (editing), Zhao Wei (log)
hong qi ge;Wu Zuguang;Wu Zuguang;Lv En, Zhang Wei, Du Cuiyuan, Fu Jie, Zhou Yingzhen, Dong Fang, Ge Baolin, Chang Hong, Bi Lianlu, Yan Baoyu, Shui Hang, Lu Fei, Yue Shen, Wang Lifu, Ma Lu, Xiong Saisheng, Guo Ling, Miao Ling, Jing Ran, Sun Xiaofei, Yin Yiqing, He Ruyu, Hao Weiguang, Zhao Jiuru, Li Wancheng, Lv Wanying, Zhao Zimin, Gu Shaobo;Fu Hong (photography), Li Shulin (illumination), Wang Ying (log), Jing Ran (stage manager), Wang Tao (set design), Yin Shengshan (conductor), Chen Guodong (props), Li Bingshen (conductor), Lin Bingcheng (recording), Hao Weiguang (stage manager), Qian Zhongxuan (film development), Xin Hanwen (Design), Yang Mingwen (audio), An Fumei (editing), Li Cunbang (film development), Li Xi (composing), Dong Fang (deputy director), Dong Yingledui (band play), Li Yanjiang (illumination), Tian Qian (trick), Nie Shixiang (props), Liu Chaoyuan (scenery)
gang tie zhan shi;Cheng Yin;Cheng Yin;Zhang Ping, Du Defu, Sun Yu, Zhang Xiqi, Xu Liankai, Liu Ru, Hu Peng, Wang Feng, Zhang Jingping, Zhang Ke, Zhao Wande, Zhang Yue, Lu Fei, Li Lin, Liu Ying, He Gaoying, Yuan Sida, Bi Ke, Chen Xiang;Chen Shuxi (stage manager), Jin Yunpeng (props), Cui Renjie (audio), Wang Wenqi (illumination), Li Yunming (scenery), Yin Shengshan (conductor), Chen Wenyuan (recording), He Jing (trick photography), Lu Gan (set design), Qian Zhongxuan (film development), Wang Chunquan (photography), Xin Hanwen (Design), Li Cunbang (film development), Xiang Yuhuan (clothing), Dong Yingledui (band play), Zhao Yongshun (props), Zhang Poshi (stage manager), Pang Gui (trick), Hua Yongzhuang (log), Ming Wei (editing), Zhang Guochang (composing)
gao ge meng jin;Wang Jiayi;Yu Min;Pu Ke, Zhang Xiqi, Qu Wei, Xu Liankai, Lu Fei, Zhang Yue, Ling Yuan, Zhuang Yan, Yin Yiqing, Zhang Ping, Zhou Yingzhen, Wang Chunying, Liu Wenhua, Zhang Fulin, Qi Jiaxing, Zhai Fu, Shui Hang, Miao Ling, Bi Ke, Niu Jingchun;Yu Yanfu (deputy director), Li Shulin (illumination), Wang Binrui (make up), Yin Shengshan (conductor), Liu Li (field service), Xu Xu (composing), Yi Qingpu (scenery), Xin Yulan (clothing), Li Bingshen (conductor), Cai Zhenya (log), Sun Guizhong (props), Hao Weiguang (stage manager), Qian Zhongxuan (film development), Song Guoyi (trick), Yang Mingwen (audio), Li Cunbang (film development), Dong Yingledui (band play), Mai Xin (make up), Dong Ping (graphic design), Nie Jing (photography), Que Jingxiu (recording), Ming Wei (editing)
liu hu lan;Feng Bailu;Lin Shan;Hu Zongwen, Lu Xiaoya, Pan Demin, Zhang Qi, Zhuang Yan, Sun Yuezhi, Yuan Sida, Huang Ling, Zheng Fang, Liu Ru, Ma Lu, Wang Chunying, Bu Wenling, Zhao Wande, Li Xiaogong, Du Fengxia, Gao Jun, Zhang Jingping, Chang Hong, Liu Jingkun, Sun Xiaofei;Shi Yukun (audio), Dan Yigeng (scenery), Dong Shizhong (theater director), Bi Zepu (make up), Zhao Hui (props), Liu Xueyao (graphic design), Zhang Ting (stage manager), Yan Dekui (photography), Yin Shengshan (conductor), Tang Suwei (editing), Chang Sumin (composing), Wang Ruilin (production manager), He Jing (Filming Director), Qian Zhongxuan (film development), Meng Jianhua (field service), Yao Yubao (make up), An Fumei (editing), Li Cunbang (film development), Dong Yingledui (band play), Liu Jingying (clothing), Zhao Hongjun (recording), Liu Wenjin (composing), Ceng Xizhong (illumination), Dong Jingwei (log)
liao yuan de xiang cun;Wu Yonggang;Yuan Wenshu;Zhang Ping, Chen Ge, Sun Xiaofei, Bu Wenling, Pang Yongfen, Ma Lu, Zhang Ke, Yu Qi, Wang Huimin, Liu Ying, Zhang Yu, Wang Zhenqi, Wu Suqin, Liang Yin, Sun Lichang, Liu Wenyu, Yu Ying, Su Fei, Fu Jie, Liu Wuxian, Hu Zhi, Guo Bingru, Xiao Ling, He Gaoying, Huang Ruohai, Du Defu, Qian Huamin, Xue Yan, Guo Ling, Xue Yandong, Zi Yongsui, Ge Cunzhuang, Yue Zhonghua;Bao Jie (photography), Zhang Litang (make up), Ma Tianwen (illumination), Zu Shuzhi (editing), Yao Pinxiu (log), Yin Shengshan (conductor), Sun Mingzhu (stage manager), Zhao Jingyun (props), Chen Wenyuan (recording), Zhang Cui (assistant photography), Wang Yongrui (scenery), Li Cunbang (film development), Pan Ying (theater director), Chen Zhiyuan (field service), Zhu Ge (set design), Dong Yingledui (band play), Zhao Susheng (deputy director), Zhao Yongshun (props), Guo Jiadong (trick), Li Rongwei (clothing), Zhang Guochang (composing)
nei meng ren min de sheng li;Gan Xuewei;Wang Zhenzhi;Yu Cun, Bai Dafang, En Hesen (Mongolian), Fang Hua, Erji Guangbudao (Mongolian), Zhang Ping, Huang Ruohai, Sun Xi, Pu Ke, Li Lin, Lin Na, Sai Sheng, Chen Ke, Zhang Suo, Bao Lama, Ba Lihua, Ling Yuan, Su Ning, Mo Nu, Baoyin Batu (Mongolian), Gantu Mur (Mongolian), Wang Baocheng, Zhu Lan, Morhen (Mongolian), Du Defu, Wen Hao, Wang Shu, Hou Jianfu, Temqila (Mongolian), Boyin Heshige (Mongolian), Moigen (Mongolian), Sanduren (Mongolian), Nei Su, Ganjurjab (Mongolian), Jimu Sengwa (Mongolian), Ursana (Mongolian);Shao Yunxiang (scenery), Bu He (consultant), Bi Zepu (make up), Cui Renjie (audio), Jian Chao (editing), Li Guanghui (photography), Jie Baoqin (make up), Li Bingshen (conductor), Xu Huicai (composing), Zheng Guangze (photography assistant), Hao Weiguang (field service), Hu Dianguo (stage manager), Li Cunbang (film development), Li Xi (composing), Zhu Wenshun (theater director), Dong Yingledui (band play), Guo Yi (log), Ceng Xizhong (illumination), Zhang Zhenying (clothing), Li Zaishan (trick), Yu Ying (editing), Wang Ying (log), Du Yu (photography), Yin Shengshan (conductor), Sui Xizhong (recording), Qian Zhongxuan (film development), An Fumei (editing), Li Enjie (graphic design), Chen Tian (illumination), Nie Shixiang (props)
bai mao nv;Wang Bin, Shui Hua;Shui Hua, Wang Bin, Yang Runshen;Zhao Lu, Tian Hua, Li Baiwan, Li Renlin, Guan Lin, Wang Feng, Zhang Yan, Xu Liankai, Miao Ling, Sun Xiaowen, Lv Wanying, Ren Zihua, Zhang Shouwei, Hu Peng, Chen Qiang, Li Bo, Zhang Ying, Mo Chou, Fu Jie, Bai Dezhang, Sun Fengqin, Wang Huimin, Gao Ping, Wu Bike, Zhang Fulin, Chen Liye;Wang Leng (clothing), Meng Yu (singer), Cui Renjie (audio), He Jingzhi (lyricist), Lu Gan (set design), Song Jie (log), Ma Ke (composing), Li Cunbang (film development), Zhang Songru (lyricist), Wang Kun (singer), Dong Yingledui (band play), Sun Yingnan (trick), Zhang Ping (singer), Ju Wei (composing), Qian Jiang (photography), Jia Yisan (props), Lv Wanying (stage manager), Yan Baoyu (field service), Li Yunming (scenery), Wu Yuyun (Filming Director), Wang Lian (editing), Yin Shengshan (conductor), Sha Yuan (recording), Zhang Lu (composing), Qian Zhongxuan (film development), Wang Guangyan (deputy director), Sun Yuemei (make up), Li Yaodong (singer), Hao Hanzeng (illumination)
ren min de zhan shi;Zhai Qiang;Liu Baiyu;Li Zhanghua, Liu Xin, Song Guanghan, Mou Qin, Lu Fei, Xin Xin, Hu Xiaoguang, Yan Fei, Xu Liankai, En Hesen (Mongolian), Bai Dezhang, Zhang Fulin, Wang Feng, Li Wancheng, Ma Lu, Lin Na, Qi Xingjia, Du Defu, Li Bolin, Xiao Ying, Zhou Ruyan, Yu Jingchun;Jing Ran (theater director), Xiang Yang (military adviser), Chen Guodong (props), Zheng Guangze (assistant photography), Li Cunbang (film development), Zhu Wenshun (deputy director), Dong Yingledui (band play), Guo Yi (stage manager), Feng Jing (log), Liu Yutian (make up), Liu Chaoyuan (scenery), Zhao Qin (scenery), Fu Hong (photography), Liu Yuhe (stage manager), Chen Shuxi (theater director), Jia Wenjin (editing), Wang Wenqi (illumination), Li Shijia (audio), Wang Tao (set design), Yin Shengshan (conductor), Zhao Jingyun (props), Hu Honghua (make up), Lv Xianchang (recording), Yu Xiuqing (military adviser), Li Yanjiang (illumination), Tian Qian (model-making), Wang Suihan (deputy director), Wu Yu (field service), Yan Chongsheng (film development), Yan Ke (composing)
bao wei sheng li guo shi;Yi Lin, Li Enjie;Yu Shan;Liu Chunlin, Su Li, Chen Peicai, Zhang Yan, Jiang Hao, Bao Yueqian, Li Jianguo, Yang Wenhao, Zhao Zimin, Qiu Shengtian, Bi Hengsan, Ma Lu, Che Yi, Li Huiying, Li Li, Wu Ning, Wang Jiuchen, Mou Sou, Zhao Guozhang, Wang Gengyi, Gu Shaobo, Sun Chengqing, Chang Yan, Che Xuan, Wang Shu, Wang Lifu, Meng Na, Ba Lihua;Shi Junqi (props), Liu Yue (military adviser), Li Yuying (editing), Zhang Jiake (recording), Wang Yongbang (scenery), Li Shouren (make up), Bao Wanjian (photography assistant), Li Guanghui (photography), Fu Peide (stage manager), Su Li (deputy director), Gao Dao (recording), Wu Fengjiao (audio), Li Cunbang (film development), Xu Jinyuan (field service), Li Jingwen (make up), Dong Yingledui (band play), Cai Guang (trick), Zhang Dichang (composing), Li Zaishan (trick), Ma Yanfang (props), Jiang Hao (associate Producer), Yin Shengshan (conductor), Sha Yuan (recording), Zhao Ruiqi (log), Qian Zhongxuan (film development), Wang Huaiguo (clothing), Li Enjie (set design), Chen Tian (illumination)
zai qian jin de dao lu shang;Cheng Yin;Yue Ye;Lu Fei, Gao Ping, Chen Ge, Zhang Wei, Bi Lianlu, Lu Ming, Ling Yuan, Zhang Ping, Zhao Jiuru, Huang Ruohai, Li Wancheng;Shao Yunxiang (scenery), Wang Wenqi (illumination), Jing Ran (theater director), Wu Jianmin (stage manager), Yin Shengshan (conductor), Lin Nong (deputy director), Gao Zhongwei (editing), Gao Tian (composing), Ruan Fushan (audio), Lin Bingcheng (recording), Yang Shiya (make up), Qian Zhongxuan (film development), Wang Chunquan (photography), Xu Wei (set design), Wang Shiru (make up), Li Cunbang (film development), Xiang Yuhuan (clothing), Dong Yingledui (band play), Su Yunpeng (props), Guo Jiadong (trick), Zhang Poshi (field service), Hua Yongzhuang (log)
lv liang ying xiong;Lv Ban, Yi Lin;Lin Shan;Li Baiwan, Pu Ke, Xue Tao, Liu Hui, Gao Ping, Di Li, Zhang Fengxiang, Sun Hongkui, Huang Suying, Xiao Shuqin, Li Jian, Yao Ying, Cao Jingya, Zheng Baomin, Wang Weiguang, Liu Zhongyu, Liu Shiliang, Qiu Ping, Hou Jianfu, Ban Yanzhe, Guo Yuntai, Li Jingbo, Zhou Diao, Shi Wei, Li Yongjie, Li Tang, Zhao Ziyue, Liu Zong, Li Yong, Huang Suzhen, Wang Jinzhu, Yan Zenghe, Lu Fang, Xiao Bangcai, Huang Fei, Liu Yihu, Yu Qing, Tian Lie, Feng Shun;Gu Derong (editing), Wang Xizhong (make up), Li Jida (composing), Xu Ming (device), Liu Hongwen (background), Cai Jun (recording), Wei Bangjun (clothing), Feng Xizhang (photography assistant), Li Jingzhong (illumination), Sun Hongkui (make up), Yu Yingquan (props), Qiu Baoxian (illumination), Xiao Ziying (theater director), Wang Guizhi (scenery), Chen Weiwen (conductor), Ding Shilian (film development), Gao Hongtao (photography), Di Shijie (film development), Fan Chongmin (log), Wang Ruijie (stage manager), Niu Lanrui (recording), Jin Baosheng (field service), Yu Yiru (set design)
gui shen bu ling;Zhang Bo;Zhang Bo;Liu Liu, Chen Zhijian, Zhang Qinzhen, Xia Peijie, Han Yan, Jin Xin, Jiang Shan, Li Tang, Yan Zenghe, Xu Jie, Guan Zongxiang, Li E, Zhang Xin, Li Huan, Liu Hui, Yu Qing, Guo Yuntai, Lv Da, Zhu Mu, Qin Zhilian, Yang Min;Bei Yingguanxianledui (band play), Wang Cheng (editing), Cheng Mo (photography), Dong Hongyi (film development), Shao Zhen (illumination), Zhao Guohong (log), Ma Dechang (stage manager), Li Ende (make up), Quan Rubin (composing), Qin Wei (set design), Chen Weiwen (conductor), Si Xiaohuan (recording assistant), Liu Dongmu (clothing), Wang Yongjie (props), Wang Shaoceng (recording), Liu Shiyi (photography assistant)
min zhu qing nian jin xing qu;Wang Yi;Jia Ke, Zhao Xun;Sun Daolin, Yao Xiangli, Sang Fu, Xie Tian, Shi Lin, Tong Chao, Li Keng, Shi Kuan, Gong Zhi, Hou Jianfu, An Ran, Fang Hui, Chen Fangqian, Fang Hua, Cong Shuowen, Liu Liu, Han Yan, Liu Zong, Tian Lie, Yang Xueming, Xu Qingyang, Chen Zhijian, Bi Yu, Liang Xin;Zhang Wenhai (device), Han Guozhi (photography assistant), Liu Hongwen (background), Zhang Haishan (illumination), Lei Zhen (props), Kang Yingqi (field service), Lei Zhenbang (composing), Huang Zhun (composing), Fan Fansai (stage manager), Bei Yingguanxianleduigeyongdui (band play), Liu Yueping (log), Chen Weiwen (conductor), Cong Shuowen (theater director), Zhang Zhicheng (film development), Chen Yanxi (recording), Gao Yupu (film development), Lian Cheng (photography), Li Jinchen (recording assistant), Yan Shanghua (clip), Fang Shengyuan (theater director), Zhang Yizhou (scenery assistant), Liu Rui (set design), Li Ende (make up), Ji Shaolan (log), Zhang Jing (make up), Qi Yuling (editing assistant), Ren Yanshu (clothing)
er nv qin shi;Du Shenghua;Du Shenghua;Shi Wei, Li Jingbo, Fang Hua, Wang Weiguang, Yan Zenghe, Sun Hongkui, Bai Ming, Li Jian, Li Yongjie, Zhao Yihu, Zhang Fengxiang, Liang Xin, Zheng Xizhi, Huang Fei, Di Li, Su Wei, Sang Fu, Yao Ying, Liu Jie, Huang Suying, Zhou Ting, Xiao Bangcai, Guan Zongxiang, Liu Dongmu, Feng Shun, Zhao Zijian;Zhang Dianyun (device), Bei Yingguanxianledui (band play), Zhang Linyi (composing), Gao Min (recording), Lin Zhangfu (editing), Zhao Dong (film development), Zhao Yihu (log), Chang Qingzhen (editing assistant), Sun Hongkui (make up), Qin Wei (set design), Wu Shenghan (photography assistant), Wu Yingjie (recording assistant), Fan Fansai (stage manager), Zhao Xinming (illumination), Tang Guanning (film development), Bei Yinghechangdui (band play), Chen Weiwen (conductor), Zhang Zhenzong (scenery assistant), Wang Zhongli (recording assistant), Liu Dongmu (clothing), Li Zhenhua (background), Han Gangzhi (photography), Li Hansan (props)
he ping bao wei zhe;Shi Lan;Hu Ke;Ge Zhenbang, Wang Shui, Luo Hui, Xia Baocun, Zhang Shihua, Ma Lihua, Er Jiuke, Xiao Ziying, Zhang Tiesheng, Zhang Shihua, Liu Jia, Yang Zhenqing, Bai Ping, Zhu Xing, Jie Guocheng, Wang Fangbo, Li Ming, Xia Peijie, Xiao Xiali;Bei Yingguanxianledui (band play), Gu Derong (editing), Wang Xin (composing), Gao Min (recording), Liu Shide (photography), Yao Jinxin (composing), Liu Hongwen (background), Zhao Dong (film development), Gao Huaiyun (log), Zhao Guohong (field service), Qiu Baoxian (illumination), Xiao Ziying (stage manager), Wu Yingjie (recording assistant), Ji Lianglong (audio), Chen Weiwen (conductor), Su Heqing (photography), Li Zhongyun (art), Huo Xing (composing), Di Shijie (film development), Wang Yongjie (set design), Chen Yusheng (device), Chen Cebin (assistant editor), Shi Yaoyi (photography assistant)
nong jia le;Zhang Ke;Sun Qian;Zhang Fa, Wei Yuping, Wang Li, Zhong Xinghuo, Qiang Ming, A Niu, Fan Zhenggang, Hu Qiming, Li Lingjun, Jiang Yusheng, Sun Yongping, Jiang Youan, Qin Yi, Bai Mu, Mo Chou, Fu Huizhen, Zhu Xiuqin, Yang Mengchang, Xin Ke, Lu Fei, Xu Keji, Jin Naihua, Yan Fei;Ge Yan (composing), Gu Wenhou (photography)
