Key,Film Title,Year,Production,Type,Topic,Plot Summary
zhao yi man,赵一曼,1950,Northeast Film Studio,Feature,6,一九三三年，女共产党员赵一曼和她的爱人老曹，在日寇占领下的哈尔滨市领导工人罢工。罢工胜利后，老曹被捕。赵一曼转移到农村，宣传组织群众，支援抗日联军。后来，她又率领一支抗联队伍，抗击日寇。不久，老曹在狱中被敌人杀害，赵一曼化悲痛为力量，继续与敌人作战，沉重地打击了日寇。一九三五年冬，抗日联军得知红军长征胜利到达陕北的消息后，举行庆祝晚会，营地被敌特发现。敌人调来大量人马，将他们包围。赵一曼在掩护部队突围时，身负重伤，被捕入狱。在狱中，她受尽严刑拷打。敌人怕她伤重死去，便把她送到医院治疗。在医院中，看护赵一曼的护士小韩和监视她的董看守，被赵一曼的事迹所感动，与赵一曼同从医院逃出，不幸被敌人追上，抓回狱中，最后赵一曼英勇就义。
guang rong ren jia,光荣人家,1950,Northeast Film Studio,Feature,7,一九四八年冬天，解放东北的最后战役开始了。东北解放区千千万万个翻身农民自愿参加支前民工队。五十多岁的田永太老汉剃掉了多年来留的胡子，抢着上前方抬担架。在火线上他遇到了二儿子二虎，并救护了受伤的大儿子大虎，鼓励儿子们杀敌立功。后来他的两个儿子都在战场上立了功，田永太老汉也在战斗中缴获了一支美国步枪。留在家里的大儿媳、二儿媳当上了劳动英雄。田永太老汉一家荣获{QUOTE}光荣人家{QUOTE}的称号。
wei guo bao jia,卫国保家,1950,Northeast Film Studio,Feature,1,陈家庄获得解放后，陈桂英在抗日政府工作组八路军女战士李玉田的启发、帮助下，摆脱了地主要霸占她的婚姻镣铐，组织妇女们纺线，并被选为纺织模范和村长。在一次劳模会上她和民兵英雄杨德志订了婚。解放战争开始，由于生活提高，桂英幻想结婚过幸福生活，因此，在全村召开的支前动员会上，她为自己的未婚夫决意参军而踌躇。后来在李玉田的批评帮助下，她改正了和平幻想和享乐观念的错误，送未婚夫参了军。五年后，杨随部队回到家乡，和乡亲们一起建设家乡，保卫祖国。
hong qi ge,红旗歌,1950,Northeast Film Studio,Feature,0,解放前某城市的一个纱厂，资本家残酷地剥削压榨工人。地下党组织领导工人采取各种方式，与资本家进行斗争。在一次与资方斗争中，地下党组织领导人不幸被捕，特务乘机调唆纱厂助理员万国英将女工马芬姐开除，马父因受此打击而病故。解放后，马芬姐又回到纱厂。工厂干部万国英的官僚主义作风，张大梅过激的打击，使马芬姐对眼前的一切产生了疑虑，渐渐变得思想落后，工作消极。纱厂工会了解到这些情况后，派金芳去安慰马芬姐，并批评了万国英。工会的关怀使马芬姐很受感动，她终于转变了态度，投入红旗竞赛。最后她们小组夺得了竞赛红旗。
gang tie zhan shi,钢铁战士,1950,Northeast Film Studio,Feature,5,一九四六年初夏，蒋介石军队集结大量兵力，向我解放军某部发动进攻。解放军某部排长张志坚，为掩护主力部队转移，率领战士狙击敌人。完成任务后，由于弹尽粮绝，张排长等四人不幸被俘。蒋军师长为了要找出解放军隐埋的军工机器和粮食，想从他们身上问出秘密。敌人对张排长采用软硬兼施的办法，张排长坚贞不屈。蒋军政工处长又把张排长的母亲和儿子抓来，妄图用骨肉之情来瓦解张的意志。张母深明大义，在敌人百般威胁和重刑拷打下，不但没有劝儿子屈服，反而勉励儿子坚定意志，与敌人斗争到底。敌人的梦想落空了。不久，解放军开始了大反攻，蒋军师长、处长被俘。张志坚又重新回到自己的队伍，部队授予他一面{QUOTE}钢骨铁筋{QUOTE}的锦旗。
gao ge meng jin,高歌猛进,1950,Northeast Film Studio,Feature,11,松江机器厂青年工人孟奎元，带头响应上级号召，进行革新创造，却引起了一些落后工友的不满。老技术工人李广才思想保守，对革新不以为然。工人老魏也认为革新后提高了工作效率，工厂就要裁减工人，思想上想不通。老魏的内侄齐子明是一个投机倒把的流氓商人，他通过老魏的关系，向老李灌输泄气话，并千方百计想博得老李女儿秀兰的欢心。老李、老魏被齐子明的花言巧语所蒙蔽，遂把秀兰许给他。后来，孟奎元在技术员的帮助下，改革了工具，创造了生产最高纪录。老李在小孟的带动和其他工人的影响下，也克服了保守思想，通过改革工具，一再缩短车丝杠的标定时间，不断创造新纪录。老魏也提高了认识，主动代秀兰退掉了与齐子明的婚约。最后，孟奎元与秀兰结成美满夫妻。
liu hu lan,刘胡兰,1950,Northeast Film Studio,Feature,2,刘胡兰生长在山西省文水县云周西村。她小的时候，红军孙同志常给她讲许多革命道理，使她从小就开始树立起反抗恶霸地主的勇敢精神。在劳动中，她和小青渐渐产生了感情。日寇占领文水县后，小青去参加红军，刘胡兰参加抗日工作，被选为村妇救会领导人。她在党的领导下，一边组织群众反{QUOTE}扫荡{QUOTE}，一边搞生产，经过严重考验，于抗战胜利前被批准入党。日寇投降后，小青随队伍胜利归来。不久，国民党反动派又发动了内战。小青又回到自己的队伍。刘胡兰和乡亲们积极给前方的八路军送慰劳品，帮助转移伤员。在一次营救党支书石德辉等人的战斗中，刘胡兰不幸被捕，在蒋军和地主吕善卿的严刑与利诱下，她坚贞不屈，最后英勇就义。中国人民的伟大领袖毛泽东同志为刘胡兰亲笔题悼词：{QUOTE}生的伟大，死的光荣。{QUOTE}
liao yuan de xiang cun,辽远的乡村,1950,Northeast Film Studio,Feature,3,王汉龙被派到地方偏僻、情况复杂的新解放区桃花川任区长。恶霸地主东霸天同他的女儿孙秀梅及国民党特务李尖头，密谋如何对付新区长王汉龙，他们暗中挑拨思想顽固的倔老头，唆使他出面破坏东、西两村的团结。在修坝问题上，两村群众发生了争执，恶霸、特务乘机扩大事态，打伤了西村主席。王汉龙通过访问老张头，了解了问题的关键。他爱人张娟也去动员村里的妇女。水坝修成后，东霸天和李尖头企图将水坝炸毁，由于民兵的警戒，阴谋未得逞。之后，东霸天和特务李尖头又企图烧毁公粮，民兵把他们逮捕。
nei meng ren min de sheng li,内蒙人民的胜利,1950,Northeast Film Studio,Feature,11,美蒋特务杨某化装潜入内蒙某旗，勾结蒙奸吐素拉格其进行阴谋活动。党派盂赫巴特尔及苏合来到该区，发动群众，建立民主政权。给道尔基王爷牧马的顿得布和孟赫巴特尔的妹妹乌云碧勒格的婚事，受到王爷的阻挠。顿得布听信坏人挑拨，把苏合当成坏人，并怀疑孟赫巴特尔出卖了自己的民族。特务杨某和蒙奸吐素拉格其，力促王爷逮捕苏合，公开反共。苏合向王爷和牧民宣传共产党的民族政策，发动群众，争取王爷，并且救护了顿得布的母亲，使顿得布很受感动，从而消除了对苏合的怀疑。随后，顿得布亲眼看见蒙奸和国民党勾结，又撞见杨某调戏乌云碧勒格，懊悔自己受骗。苏合派孟赫巴特尔给上级送信，请调援兵，不幸孟途中遇害。之后，蒙奸吐素拉格其令顿得布刺杀苏合。顿得布却向苏合报告了盂赫巴特尔遇害的情形和蒙奸的阴谋，并要求随苏合同去向上级送信。不久，蒋军侵入草原，苏合、顿得布也领着蒙汉联军赶到，击溃了蒋军，生擒杨某和吐素拉格其，王爷终于觉悟了。最后，顿得布参加了共产党领导的蒙汉联军。
bai mao nv,白毛女,1950,Northeast Film Studio,Feature,15,在华北一个偏僻的农村，佃户杨白劳的女儿喜儿和青年农民王大春相爱。恶霸地主黄世仁想霸占喜儿，在除夕之夜强迫杨白劳卖女顶债，杨白劳被逼喝卤水自杀。喜儿被抢进黄家，被黄世仁奸污。大春救喜儿未成，投奔红军。喜儿也在张二婶的帮助下逃出黄家，途中生下一小孩，随后，她独自逃进深山。由于长时间不见天日的非人生活以及缺乏营养，喜儿的头发变白了，于是村中传说出现了白毛仙姑。两年后，大春随部队回到家乡，领导农民闹翻身。地主利用白毛仙姑的传说，阻挠农民的翻身斗争。为了破除迷信，大春来到深山，找到了白毛仙姑，发现原来就是当年的喜儿。白毛仙姑的秘密揭穿后，农民们清算了恶霸地主黄世仁的罪行，喜儿也伸了冤报了仇。喜儿回到村中参加劳动，头发又变黑了，与大春结婚后，过着美满幸福的生活。
ren min de zhan shi,人民的战士,1950,Northeast Film Studio,Feature,0,一九四六年，国民党反动派疯狂进攻东北解放区。东北人民解放军三下江南打击敌人。松花江南岸的翻身农民刘兴深受反动派的残酷迫害，为了报仇，他参加了解放军，和本村万老头的儿子万良材同在一个连队。这年冬天，在挺进江南的战斗中，万良材为掩护刘兴，身负重伤。在后方医院里，刘兴又和万良材相遇。刘兴伤愈归队后，参加了部队的诉苦运动，提高了阶级觉悟。在围攻某一大城市的战斗中，两个战友又在战场上重逢了，他们并肩作战，双双立了战功。
bao wei sheng li guo shi,保卫胜利果实,1950,Northeast Film Studio,Feature,2,一九四六年，国民党反动派撕毁和平协定，进攻解放区。逃亡地主二阎王勾结蒋军回来劫村，抓走翻身农民梁永清等。解放军救出了被抓的村民，梁永清、侯玉成等为保卫胜利果实，报名参加了解放军。永清在第一次执行侦察任务时，由于没有经验，开枪暴露了目标，使同去的一个战友负伤。后来在老战士张大牛的帮助下，永清渐渐锻炼成为一个好战士，屡建战功，活捉了蒋军的一个司令。全国解放后，为了加强部队的现代化建设，部队抽调梁永清、侯玉成、张大牛到特种兵团去学习。
zai qian jin de dao lu shang,在前进的道路上,1950,Northeast Film Studio,Feature,4,一九四九年冬，我国正处在经济恢复时期，东北某城的东江车站，经常发生堵塞，影响了列车的运转。这个问题引起了铁路管理局党委的注意，派罗真为铁路分局的副局长，去协助分局长何仲光工作。何仲光和罗真原是老战友，何仲光在解放东北期间，曾在运输工作上立过功，解放后在铁路工作上又有了一些成绩，因而产生了骄傲自满的情绪，主观决定新建调车场以解决矛盾。罗真则主张学习苏联的先进调车法。铁路管理总局党委肯定了罗真的意见，采用新的调车法，解决了堵塞现象。最后，上级决定撤掉何仲光分局长的职务，送他去学习。
lv liang ying xiong,吕梁英雄,1950,Beijing Film Studio,Feature,0,一九四二年春，晋绥根据地边沿地区的吕梁山康家寨人民经常遭受日寇骚扰祸害。民兵队长柱子开始由于缺乏经验，工作受到挫折。在上级党组织的领导下，柱子在斗争中逐渐成熟起来。秋天麦子成熟了，柱子组织民兵保护麦收，坚壁清野，打退了抢粮的敌人。村里有个汉奸康锡雪，表面伪装老实，捐出二十石麦子给民兵买枪，以麻痹民兵，暗地里却通知敌人来捕捉干部。这时，民兵因胜利而放松了警惕性，在敌人的突然袭击下受到严重损失，柱子也被俘，受尽敌人的酷刑。区长老马带领全区民兵，乘主力部队围攻县城之机，与搞地下工作的辛老二等里应外合，救出了柱子和被捕的民兵，杀死了日本鬼子指挥官松本，活捉了汉奸康锡雪，解放了水峪镇。日本投降后，柱子参加了解放军。
gui shen bu ling,鬼神不灵,1950,Beijing Film Studio,Feature,0,某偏僻的山村，村民们不相信科学，迷信鬼神。落后农民康有信巫神，妻子分娩采用旧式方法接生，致使妻子得了产后风，小孩也病了。康有去请大神，这时大神的小孩也正在生病，大神把自己的小孩送到医务所去治，却装神弄鬼欺骗康有，把康有妻子的病越弄越重，小孩也被折磨死了，临走还要了不少东西和钱。康有再次去请巫婆给妻子瞧香，在庙会上，康有听到巫婆的姑妈与康有舅谈话时无意中透露了巫神骗人的真象，于是他就改请医生，医治好了妻子的病。两年后，康有妻第二次生产，他又走老路，母子险些丧命。至此康有才接受教训。村干部为了教育更多的群众和改造巫神，演出了假病试神一场戏，揭穿了巫神骗人的把戏，并通过其他方式的宣传，使群众认识到了鬼神不灵。巫神经过政府的教育，也改邪归正，参加了生产劳动。
min zhu qing nian jin xing qu,民主青年进行曲,1950,Beijing Film Studio,Feature,3,抗日战争胜利后，国民党反动派又发动全面内战。青年学生们在共产党的领导下，与反动派进行斗争。北京某大学学生方哲仁不问政治，闭门读书，不愿卷入斗争浪潮。国民党特务陈雪屏、江正卿为了破坏学生运动，暗中拉拢中间分子，对参加过青年军的方哲仁进行威胁利诱。他们伪装成青年军，打伤了参加学生宣传队的方哲仁的表妹宋蓓华，方受骗与宋产生了思想分歧。后来在地下党领导人何迈的启发帮助下，方思想有了转变。一次，反动军官来校逮捕何迈时，方哲仁和同学们一起保护了何迈。在{QUOTE}五·二零{QUOTE}学生运动中，方哲仁被特务逮捕，在狱中经受了严峻的考验，他揭露了特务破坏学生运动的阴谋。新中国成立后，方哲仁和青年学生们又承担起新时代赋予他们的任务。
er nv qin shi,儿女亲事,1950,Beijing Film Studio,Feature,15,新中国婚姻法颁布后，河北东枣庄青年社员王贵春和李秀兰自由恋爱，遭到秀兰爹李老川的反对。李老川是个旧脑筋，他硬要把女儿嫁给西枣庄的赵大奎。秀兰不同意，去找村妇女主任商量。妇女主任用现身说法，首先使秀兰娘明白了包办婚姻的害处，不再反对女儿的自由恋爱。秀兰和贵春去村政府办理登记手续时，碰上了秀兰爹去区上给秀兰和大奎领结婚证书。原来是办事糊涂的村长给李老川写的介绍信。妇女主任批评了村长的错误，于是村长立刻领着秀兰和贵春到区政府去登记。在区里，李老川和大奎爹赵老蛮见村长突然改变了主张，有点摸不着头脑。经区长解释，李老川才同意取消秀兰和赵大奎的婚约，但仍然反对秀兰和贵春的婚事，并在一气之下宣布和秀兰脱离父女关系。秀兰和贵春结婚后，生活得很好。过了一些日子，李老川终于认识到自己的不对，又和秀兰恢复了父女关系。
he ping bao wei zhe,和平保卫者,1950,Beijing Film Studio,Feature,0,一九四九年十月一日，解放军某部在继续追歼南逃残敌的途中，某部沈营长在即将胜利的大好形势下，产生了转业思想。经过师长的帮助和美蒋不甘心失败的反面教育，使他认识到用武装巩固胜利、保卫和平的重要性。这时某大桥的守敌准备炸桥逃跑，我军师部得知这一情报，连夜召集紧急会议，师长命令沈营长在早晨五点钟以前把桥夺下来，以保证部队顺利追歼敌人。战斗打得很激烈，沈营长最喜爱的战斗英雄赵柱子在战斗中负重伤，但部队终于按时拿下了大桥，歼灭了逃跑的残敌。
nong jia le,农家乐,1950,Shanghai Film Studio,Feature,0,杜家庄的翻身农民分得了土地，积极搞生产。张老五的儿子张国宝，在解放战争中作战负伤，复员回乡参加生产。任生产组长的张老五是个旧脑筋，只信老经验，不接受新事物，再加上被斗地主杜天成、二流子刘老二从中捣鬼，弄得村里农民们的思想很混乱，政府推广种洋棉的号召在这里行不通。张国宝和推广队在总结教训的基础上，进一步用事实说明种洋棉的优越性；同时上级还派了农业专家帮助村里治害虫，并用新式农业机械——拖拉机帮助他们进行耕种。通过这一系列的活动，终于使张老五对新事物转变了认识，落后、保守的农民也都积极响应政府种洋棉的号召。结果，棉花获得大丰收。
da di chong guang,大地重光,1950,Shanghai Film Studio,Feature,12,一九四五年八月，日本投降后，国民党反动派撕毁{QUOTE}双十协定{QUOTE}，在新四军转移的时候，派兵围击。浙东四明山区的新四军在人民的支援下，安全撤离了江南。某纵队指导员周强、机枪手老沈、医护人员杨玉文为了掩护伤员陈光生、郭志英、孙二虎、袁学武撤退，被敌人发现，在寡不敌众的情况下被俘。之后，在群众的帮助下，他们打死了看押的敌人，逃到山上。敌人向山区发动进攻，袁学武排长在战斗中牺牲，郭志英在困难面前有些动摇，在指导员及同志们的帮助下，他坚定了信心。后来他们与地下党取得联系，组织人民武装，建立了根据地，开展对敌斗争。一九四九年，解放军百万雄师横渡长江，他们终于找到了自己的部队。
ren min de ju zhang,人民的巨掌,1950,Kunlun Film Company,Feature,3,上海解放前夕，隐藏在通宝纱厂里的特务、工贼张荣奉命伪装进步，与被捕工人一同入狱。解放后，张出狱回厂，在特务头子肖良的指使下，继续伪装进步，以极{QUOTE}左{QUOTE}的言论，在工人中挑拨劳资关系，并指使小特务李福生破坏机器。不久，李福生被厂工会干部朱亚琴所怀疑，李主动向朱作了坦白交待。我公安人员虽已掌握张荣的情况，但仍希望他自觉悔悟。张却执迷不悟，通过狱中难友黄子和的关系，将胞妹杏华安插在江南钢铁厂工作，并从黄的口中获悉江南厂内的机密，使该厂成为敌机轰炸的目标。我公安人员薛家琪向黄了解情况时，黄仍为张荣进行袒护。后经杏华的检举，敌特被一网打尽。
wu xun zhuan (shang ji),武训传（上集）,1950,Kunlun Film Company,Feature,2,一九四九年十二月五日是武训一百一十年诞辰。山东堂邑县柳林镇外武训祠墓前正开着纪念会，一个女教师向孩子们讲述武训的故事：{LINE_CUT}武训出生于贫苦的农民家庭。五岁丧父，他跟着母亲要了两年饭。一天，七岁的武训拿着辛苦积聚的两百文铜钱跑进一家私垫，跪求老师收他念书，却被有钱人家子弟赶了出来。他回到家里，母亲已病死。他的伯母抚育了他七年。以后他就外出做工，四处流浪。十七岁时，武训给馆陶县薛店村大地主张举人家里做长工，受尽张举人和狗腿子赵熊等人欺压、剥削。在张举人家，他结识了曾参加过太平军的车夫周大，得到周大的照顾。他从周大口中得知张举人家女婢小桃被张骗写卖身契的不幸经历，对小桃寄予深切的同情，更明白了穷人不识字的痛苦。三年后，武训的伯母生病，武训的侄孙小茂林来找武训，武训向张举人讨工钱，张举人却造假账，说工钱已支完。武训进行争辩，又遭到一顿毒打。车夫周大愤愤不平，打倒狗腿子，将武训救到一座破庙里。张举人勾结官府，把周大打入死牢。女婢小桃被四奶奶逼着要卖给曹屠夫，她逃到破庙来找武训。当她看见刚从苦闷中解脱出来，梳着歪辫，敲着铜瓢，笑唱着修义学的歌词的小丑模样的武训时，她不愿破坏武训修义学的计划，没有把事情告诉他。这时，狗腿子赵熊来到破庙抢走了小桃，并殴打武训。愤愤不平的农民、死牢里的周大和破庙里的武训，在暴风雨中发出{QUOTE}我们要报仇{QUOTE}的狂喊。
wu xun zhuan (xia ji),武训传（下集）,1950,Kunlun Film Company,Feature,4,武训在内心悲愤，外表装笑的小丑姿态下开始了他的新生活。小桃因无路可走，当晚上吊自尽。不久，周大越狱出逃，路经破庙，劝武训参加他们的起义军，武训没有同意。十年过去了，武训靠唱歌卖艺、装疯弄傻，积聚了一百二十吊铜钱，将钱存在地保高春山处。高指使狗腿子刘四偷走武训存钱的字据。武训去恳求高春山，高翻脸不认。但武训并不灰心，继续装疯弄傻募款。又过了二十年，武训积存了六千多串现款和学田。他在德高望众的杨进士门前跪求三天，又亏开明绅士郭芬的支持，终于办起了义学。一天，武训在外出放账路上，遇到周大，周大认为单凭念书，是不能打倒狗官恶霸的，提醒武训当心受骗。武训在义学里看见学生因读书而不肯扛活，听见学生们说，书念好了可以做官，他怀疑了。堂邑县的郭知县到义塾来视察，一定要给武训呈报请奖，强迫他去省里谒见张抚台。张抚台又上奏皇帝为他请封号，造牌坊。武训怀疑并开始痛苦起来。满清王朝面对着当时的农民暴动，为收买民心，批准为武训建牌坊和赏穿黄马褂。当郭知县捧着黄马褂强逼武训穿时，武训忽然倒在地上狂笑乱滚，搅乱了庄严的盛典。这时张举人的狗腿子赵熊跑来报告，说周大率领农民起义军把张家抢烧一空，张举人当场吓死，其他的官吏绅士抱头鼠窜，一哄而散。武训满腔愤慨地拖着黄马褂进入义学，他要穷孩子们牢记{QUOTE}将来长大，千万不要忘记咱庄稼人!{QUOTE}随后抛弃黄马褂，头也不回地走了。周大率领着起义军，风驰电掣地奔过武训的身旁，卷起了阵阵黄尘……{LINE_CUT}女教师在武训祠墓前，给孩子们讲完了武训的故事。他们好像幻见了老年的武训，肩背布褡，手拿铜瓢，在北方原野上缓慢而坚定地走着。
