Film Key,Topic
xun ai ji,8
di xia jian bing,11
lu sheng lian ge,10
bian zhai feng huo,3
mu nv jiao shi,7
mu ren zhi zi,9
li er sao gai jia,12
hu die bei,6
jie nian,6
qun ying hui,13
jie dong feng,13
du shi niang,13
yan dang shan,4
yang cheng an shao,1
dong xiao heng chui,13
qiu chang feng bo,13
hai hun,13
mu tong tou jun,3
ye lin qu,1
qing chang yi shen,6
nv lan 5 hao,1
wu hai ye hang,0
xing fu,9
bai yue ji,2
chen san wu niang,0
luo han qian,1
a fu xun bao ji,6
feng huang zhi ge,1
hu shi ri ji,11
cheng feng po lang,0
bu ye cheng,6
zhan dou li cheng zhang,12
shui,5
liu bao de gu shi,15
wu geng han,6
ji zhan qian ye,3
chuan shan ju long,12
da mu jiang,4
hua hao yue yuan,5
min bing de er zi,10
hong hai zi,10
shui ku shang de ge sheng,2
dang de nv er,4
xu qiu ying an jian,3
xuan ya,0
gu cha zhong sheng,15
ta ai shang le gu xiang,10
gong di qing nian,0
nv she zhang,10
li ming de he bian,8
dong feng,13
xin lian xin,3
huan nan zhi jiao,13
san nian zao zhi dao,6
bing jian qian jin,15
bai shou qi jia,3
hua zhong ren,0
lie bing deng zhi gao,12
xin de yi ke,6
fu wu yuan,14
shuai qi piao piao,3
chun shui chang liu,3
shang ba de gu shi,11
kuai ma jia bian,8
hong ling jin de gu shi,8
tian xia wu nan shi,9
chun lei (1958),14
bao shan zhi ge,6
huo yan ju,13
feng zheng,10
shang hai gu niang,6
sheng huo de lang hua,11
tan qin ji,10
shi san ling shui ku chang xiang qu,1
shan li de ren,6
yi tian yi ye,0
liu hu xin song,0
ping fan de shi ye,0
ye zou luo tuo ling,5
hong se de zhong zi,1
shen shan li de ju hua,11
xiao kang ren jia,3
zhan dou de shan cun,8
cui gu zhong sheng,11
cong ming de ren,11
shei shi bei pao qi de ren,10
di san ci shi yan,15
gang ren tie ma,0
ju lang,2
you chuan huo yan,6
dian xing bao gao,10
chang qing shu,0
wang jiang ting,3
xia xiang yu gan jiao,15
lan lan he dong dong,4
san mao xue sheng yi,13
tie chuang lie huo,3
da yue jin zhong de xiao zhu ren,4
qian fang lai xin,4
bu gu niao you jiao le,10
qian nv nao hai,12
da feng lang li de xiao gu shi,0
huang bao mei,12
20 tian ge ge ming,13
ying xiong gan pai ke,3
zhong yao de yi ke,12
liang ge ying ye yuan,6
gang hua bian di kai,10
ni zhui wo gan,8
hai shang hong qi,2
xin an jiang shang,1
zhen zhu ji,13
liu jie mei,11
lin chong,5
liang ge xun luo bing,9
miao jia er nv,2
wu ming ying xiong,12
lu ban de chuan shuo,6
san ba he bian,2
ai chang ru jia,5
di yi lie kuai che,7
xiao fang zhi ge,11
wo long hu,1
tie shu hua kai,11
gang cheng hu jiang,7
re lang ben teng,7
mu gui ying gua shuai (1958),8
qing tan,8
san ge zhan you,12
hei shan zu ji zhan,0
chang kong bi yi,14
hong xia,14
ying xiong hu dan,15
du jiang tan xian,10
yi ri qian li,2
yong bu xiao shi de dian bo,11
po chu mi xin,12
fan lao huan tong,7
jin ling zhuan,0
hai kuo tian kong,11
lang ya shan wu zhuang shi,11
xian wei shu ji,6
yang guan da dao,0
jie ban ren,0
chuan chang zhui zong,2
gang zhu fei che,12
kang zhuang da dao,11
wo men cun li de nian qing ren (shang ji),11
xi cheng de gu shi,2
xiao zhu yan kai,5
shi hang,2
bing shang jie mei,1
jie qin pei,7
wu duo jin hua,15
feng cong dong fang lai,15
cao yuan chen qu,12
huang he fei du,8
zhao xia,6
yun wu shan zhong,3
qing yun qu,6
san kan hu die meng,0
hai shang shen ying,3
dou e yuan,6
jin yu ji,15
huan le ren jian,0
zhan huo zhong de qing chun,6
liu shui huan ge,6
qian shao,9
chen san liang,2
shuai jing jia,1
lin jia pu zi,15
wu ming dao,0
kuang deng,13
fei yue tian xian,11
feng bao,1
qing chun zhi ge,7
huan tian xi di (1959),2
shui shang chun qiu,14
liang shi,0
bai feng chao yang,1
san ge mu qin,9
lv zhou kai ge,0
hao hai zi,11
nie er,13
huang pu jiang de gu shi,13
jin tian wo xiu xi,13
wan zi qian hong zong shi chun,14
xiang hai yang,10
qiao lao ye shang jiao,14
lin ze xu,13
lao bing xin zhuan,0
nv fu ma,7
bai sui gua shuai,6
sheng si pai,8
gang tie shi jia,3
chun man ren jian,7
sha mo zhui fei ji,11
di xia shao xian dui,13
xiang piao wan li,6
di xia hang xian,15
chun feng yang liu,1
bao lian deng,5
zhui yu,9
xing xing zhi huo,9
jie ri ge wu,5
bu lao song,4
an hui xi qu ji jin,0
hui min zhi dui,11
jiang shan duo jiao,1
hai ying,10
wan shui qian shan,12
lie huo zhen jin,3
wu duo hong yun,12
ying xiong dao,13
chi feng hao,6
you yi,10
zhan shang hai,1
mu gui ying gua shuai (1959),8
yu dao zhi zi,0
xue hai yin shan,10
tian shan ge sheng,13
xian hua duo duo kai,3
ren xiao zhi da,11
gan xiang gan zuo de ren,1
er du mei,9
huan hun ji,15
hong yan,2
tai yang gang gang chu shan,7
tuan yuan zhi hou,12
kun lun tie ji,0
zai sheng ji,2
tie dao wei shi,10
feng huo lie che,0
shen yang shou,9
shi ji lang,9
pan yang song,10
liu san jie,0
qiang di song,6
dong feng di yi zhi,1
kong yin he,7
wo men shi yi dai ren,0
you yuan jing meng (1960),1
wei le liu shi yi ge jie ji di xiong,11
yang men nv jiang,6
wu cai lu,5
yi ge ming de ming yi,3
hong hua bian di kai,5
chun nuan hua kai,1
geng yun bo yu,15
hong qi pu,0
ge ming jia ting,14
liu shi nian dai di yi chun,0
chuang guan,0
ji liu,6
mian dian wen hua dai biao tuan fang hua yan chu,7
mo ya dai,3
ma lan hua,6
guan han qing,0
qin niang mei,2
nv shen,8
ta men de xin yuan,0
feng liu ren wu shu jin zhao,1
xiang yang hua kai,14
dou shi ting,7
sun wu kong san da bai gu jing,12
hong ying zhan chi,3
shi er ci lie che,10
san ba xian shang,3
ke shan hong ri,15
lin hai xue yuan,15
hong ying,6
meng long sha,12
qi xi,7
ying xiong shi pian,10
xin dui yuan,9
hui yan dan xin,12
bi kong yin hua,7
yong heng de you yi,6
kang han qu,7
cao yuan feng bao,15
san di xue,4
yi wen qian,7
jia ling jiang bian,0
liang dai ren,3
qin ren,3
ge ming feng bao zhan sheng long juan feng,14
fu zi lia,1
ta men zai zhan dou,0
bei lei chu kai,1
ma xi tuan de xin jie mu,14
wan mu chun,3
jian shui dong liu,13
dong mei,11
shu jia de li wu,14
hong hu chi wei dui,12
bao feng zhou yu,14
chun lei (1961),10
bei da huang ren,4
51 hao bing zhan,2
ku mu feng chun,3
man luo hua,11
chun cui tao li,0
hong se niang zi jun,4
ying xiong xiao ba lu,3
xiao dao hui,2
tu po wu jiang,0
bi kong xiong shi,11
hong shan hu,0
li jing ji,15
ba shan hong lang,0
yan an you ji dui,15
da ji he ta de fu qin,3
yuan fang xing huo,4
feng xue da bie shan,1
kou zhun bei xue,9
qi tian qi ye,13
san guan pai yan,15
liu yi chuan shu,11
jia wu feng yun,13
lu huo zheng hong,8
hua er duo duo,10
kun lun shan shang yi ke cao,1
yang nai wu yu xiao bai cai,8
ye zhu lin,10
ting zhan yi hou,9
a na er han,7
jin shang tian hua,3
sun an dong ben,5
li shuang shuang,15
hong lou meng,1
bi yu zan,15
mo shu shi de qi yu,6
nv li fa shi,2
liao yuan,1
da li 、 xiao li he lao li,9
dong jin xu qu,2
ge lia hao,9
huai shu zhuang,0
di lei zhan,13
e er duo si feng bao,10
bi hai dan xin,0
ying xiong tan ke shou,12
han jiang hua si jin,7
nan hai chao,15
qi wang qiu jiang,3
hong ye ti shi,1
sheng ming de huo hua,8
shang xiao yun wu tai yi shu,4
qiao tai shou luan dian yuan yang pu,7
bing shan shang de lai ke,15
hua wei mei,12
zi you hou lai ren,3
chao yang gou,8
wo men cun li de nian qing ren (xu ji),1
man yi bu man yi,0
liang jia ren,15
qiang tou ma shang,5
bing xue jin da lai,2
fen shui chang liu,7
hong he ji lang,1
zao chun er yue,3
xiao bing zhang ga,1
chun yan zhan chi,2
mu gui ying da zhan hong zhou,10
xiong mei tan bao,14
fei dao hua,9
you san jie,15
ru ci die niang,9
bei guo jiang nan,8
shui shou zhang de gu shi,11
niu lang zhi nv,10
hong ri,8
jin sha jiang pan,10
bao hu lu de mi mi,9
can hua gu niang,4
wu song,11
shuang zhu feng,9
huai yin ji,13
qiu mi,0
ye huo chun feng dou gu cheng,0
nong nu,9
nu chao,7
zhua zhuang ding,13
ge ming li shi ge qu biao yan chang,8
duo yin,0
gen zong zhui ji,5
qi shi er jia fang ke,15
mao zi pei chuang gong,6
tao hua shan,1
zha mei an,10
du li da dui,10
bing lin cheng xia,10
ying xiong er nv,1
hong guan jia,9
hao xi fu,10
nan hai de zao chen,0
nv tiao shui dui yuan,7
cai die fen fei,13
xiao ling dang,4
qing nian lu ban,0
xiao er hei jie hun,9
qian wan bu yao wang ji,15
cao yuan xiong ying,6
jian gan he bian,9
qing shan lian,10
a shi ma,15
feng shou zhi hou,0
li shan zi,12
bai qiu en dai fu,4
jia ting wen ti,12
ni hong deng xia de shao bing,0
xue bei,0
an bian ji lang,1
dai bing de ren,6
lei feng,1
fen shui ling,14
xu ri dong sheng,9
dong feng wan li,5
ni feng qian li,3
liu ming zhu,1
tian shan de hong hua,0
shan cun kuai ji,7
san jin shan cheng,9
jing po gu niang,5
“te kuai” lie che,5
qing song ling,0
lu kao,2
chuan qiang ji,12
bai shan xin ge,8
yi ke hong xin,3
jin yao chi,2
duo duo hong hua xiang tai yang,10
jie zhen guo,13
lie huo zhong yong sheng,5
mei dian xin gong ren,0
shan cun jie mei,11
hong se bei lou,8
long ma jing shen,3
hua bei qu ye yu hua ju wu tai yi shu pian (shang ji),0
hua bei qu ye yu hua ju wu tai yi shu pian (xia ji),0
mai niu 、ba gua yuan,14
san duo xiao hong hua,4
lang tao gun gun,9
xiao zu qiu dui,15
huang sha lv lang,11
hong hua qu,4
nong jia bao 、liang long di,13
zhe shi wo ying gai zuo de,3
gu sao lian wu,1
nian qing de yi dai,6
gui tai,9
wu tai jie mei,9
xi qu ji jin,8
shang hai zhi chun,8
fu jian gong yi xin hua,3
shang hai shi shao nian er tong ge ming ge wu xuan ji,9
da ji qin lve zhe,9
ku cai hua,8
mi mi tu zhi,15
di dao zhan,6
sheng li zai wang,2
ye lin nu huo,11
jun ken zhan ge,14
dong fang hong,13
shuang jiao zi,14
shan cun xin qu,8
da tong luo 、bu guo,8
hong mei ling,9
ren huan ma jiao,10
jun ge liao liang,1
ha er bin zhi xia,10
yan hong ling xia,6
hong se you lu,8
nv fei xing yuan,13
hong shi zhong sheng,12
ta men zai cheng zhang,1
shang hai gong yi mei shu,12
yi bai ge fang xin,14
qing chun hong si huo,15
you xiang,13
jie niu,8
song liang,2
da lang tao sha,15
yi dai mai zhong,14
lao bao guan 、xin xi fu lai le,11
yi chuan xiang lian,8
